Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
Qihoo 360 Technology Co. Ltd.,NYSE, QIHU (ADR),2011,fy2011,0,GV_186717,Richard Pearson,360 Security Technology Inc.,IQ85076655,Systems Software,SHSE:601360,343.731,167.851,15.603,0,18.918,4.227,343.962,18.918,0.087,16.741,148.933,47.989,19.966,65.89,0,0,64.962,-8.066,374.369,0,0,24.619,0,4.603,16.665,18.232,10.744,15.561,2.541,7.123,12.434,26.627,-0.315,423.958,-1.209,82.303,5.872,25.418,-16.32,0.969,10.874,0,0,14.544,-0.487,0,0,0,46.56,0,-1.457,0,15.603,-14.976,0,1.895,-34.811,0.639,0,0,52.466,13.708,0,0,13.708,0,0.179,0.0995,0,1.39,0.0995,0,0,137.77575,0,370.853,0.09,234.332,371.492,0.09,0,423.958,172.99252,0,0.12848,0,0.10232,41754,40908,22.459,0,0,22.022,233.28,179.02925,283.226,(Invalid Formula Name),18.232,2.07147,26.72,358.419,4.261,0,2.00201,17.70088,3.699,0.969,0,0,0.969,42.7807,59.15988,0,0,59.193,-342.993,0,-13.359,372.461,10.724,6.139,1725,0.15
"Subaye, Inc. ",Nasdaq, SBAY,2011,fy2011,1,GV_147908,GeoInvesting,"Subaye, Inc.",IQ961688,Internet Services and Infrastructure,OTCPK:SBAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signature Bank Corp,Nasdaq, SBNY,2011,fy2011,1,GV_160776,Shareholder Watchdog,Signature Bank,IQ913010,Regional Banks,NasdaqGS:SBNY,40.154,449.949,149.526,0,0,6.111,40.154,0,0,0,449.949,8.496,0,182.724,0,0.566,0,-7.322,493.278,0,0,62.514,0,0,30.574,267.225,0,7117.051,0,0,0,267.225,0,14666.12,0,169.188,11754.138,267.225,-7.3,55.81,117.699,0,0,149.526,0,0,0,0,11887.408,0,0,1370,149.526,-1293.005,0,0,-2949.19,0,0,0,13258.004,149.526,810.8,0,149.526,810.8,0.462,3.42777,0,423.032,3.42777,-607.2,0,43.622,-607.2,1408.116,3.37,255.233,1408.116,3.37,0,14666.12,44.418,0,3.8287,0,3.76009,41700,40908,NA,0,46.18189,0,2773.857,46.18204,-6.145,(Invalid Formula Name),NA,30.49065,NA,1408.116,13.3,120.995,30.49065,167.01563,126.55,1425.81,0,203.6,55.81,44.0449,0,1370,0,0,1385.656,7.305,0,0,128.831,0,720,-11.132
Sino Clean Energy Inc.,Nasdaq, SCEI,2011,fy2011,1,GV_144356,GeoInvesting,Sino Clean Energy Inc,IQ30274975,Coal and Consumable Fuels,-,42.43133,102.17469,32.12492,0,69.96711,2.99162,42.43133,69.96711,0,13.19155,32.20759,0.13,13.21806,8.81207,0,1.2886,0,-9.4691,94.07849,0,-30.04311,25.30547,0,0.36819,18.11032,23.39552,0,0,0.26257,-0.83728,6.22954,33.89265,0,124.68586,3.59072,-15.73729,1.98826,37.48337,-1.0849,0.04846,5.35846,0,0,32.12492,0,0,0,0,5.36269,0,0,0,32.12492,0,0,0,3.16386,0,0,0,5.36269,32.12492,0,0,32.12492,0,0.02384,1.36713,0,46.08589,1.36713,-0.16881,-0.79942,23.49802,-0.16881,119.32317,1.36713,0.59422,119.32317,1.36713,-0.79942,124.68586,23.49802,0,0.90148,0,0.90148,40998,40908,26.38714,0,23.5426,26.38714,-0.37401,23.5426,-9.62453,(Invalid Formula Name),23.39552,5.06839,0,113.09364,0,0.00681,4.80379,21.18291,6.27063,0.04846,0,-0.16881,0.04846,14.2955,-23.35887,0,0,-23.35887,-42.38287,0,40.01779,119.37163,5.35846,25.30224,176,0
Sino Clean Energy Inc.,Nasdaq, SCEI,2011,fy2011,1,GV_144356,Alfred Little,Sino Clean Energy Inc,IQ30274975,Coal and Consumable Fuels,-,42.43133,102.17469,32.12492,0,69.96711,2.99162,42.43133,69.96711,0,13.19155,32.20759,0.13,13.21806,8.81207,0,1.2886,0,-9.4691,94.07849,0,-30.04311,25.30547,0,0.36819,18.11032,23.39552,0,0,0.26257,-0.83728,6.22954,33.89265,0,124.68586,3.59072,-15.73729,1.98826,37.48337,-1.0849,0.04846,5.35846,0,0,32.12492,0,0,0,0,5.36269,0,0,0,32.12492,0,0,0,3.16386,0,0,0,5.36269,32.12492,0,0,32.12492,0,0.02384,1.36713,0,46.08589,1.36713,-0.16881,-0.79942,23.49802,-0.16881,119.32317,1.36713,0.59422,119.32317,1.36713,-0.79942,124.68586,23.49802,0,0.90148,0,0.90148,40998,40908,26.38714,0,23.5426,26.38714,-0.37401,23.5426,-9.62453,(Invalid Formula Name),23.39552,5.06839,0,113.09364,0,0.00681,4.80379,21.18291,6.27063,0.04846,0,-0.16881,0.04846,14.2955,-23.35887,0,0,-23.35887,-42.38287,0,40.01779,119.37163,5.35846,25.30224,176,0
"SinoCoking Coal and Coke Chemical Industries, Inc.",Nasdaq, SCOK,2011,fy2011,1,GV_184281,Alfred Little,Hongli Clean Energy Technologies Corp.,IQ61318952,Coal and Consumable Fuels,-,26.26669,74.28799,39.90786,0,47.26731,3.39281,26.26669,47.26731,0,8.48927,27.02068,0.32529,25.44305,3.52349,0,3.01093,0,-1.77503,72.65443,0,-4.84692,52.53527,0,-0.15289,40.36209,23.4972,0,2.75366,-1.05575,1.52745,31.32885,21.83741,0,189.86932,23.13583,15.75515,0.14415,44.97324,-15.497,4.9504,5.06538,0,0,39.90786,-14.4864,0,0,0,9.96124,0,-23.93274,55.692,39.90786,-2.68602,0,0,-65.18193,8.6632,0,25.32059,71.22228,39.90786,54.324,0,39.90786,79.64459,0.02109,19.03811,-38.25315,101.40879,19.03811,0,0,2.09621,-38.25315,109.98383,19,1.31854,118.64703,19,0,189.86932,2.10213,0,6.51098,0,6.49266,41206,40724,26.89001,0,2.1091,26.89001,57.49247,2.1091,8.86368,(Invalid Formula Name),23.4972,52.14741,27.31885,78.65498,0.42884,1.47237,37.29324,13.64838,4.13835,60.6424,0,41.39144,4.9504,11.263,-26.72953,55.692,0,-25.8093,34.37571,0,4.45812,179.28943,5.06538,11.39301,689,0
Sears Holdings Corporation,Nasdaq, SHLD,2011,fy2011,1,GV_006307,Bronte Capital,Sears Holdings Corporation,IQ7675730,Department Stores,OTCPK:SHLD.Q,1359,42664,133,0,30988,859,1359,30988,10,689,11676,0,689,10411,46,8951,0,0,11560,859,-353,11329,0,-285,7102,406,0,0,-257,-34,4385,135,-15,24360,31,123,3046,166,-426,360,27,35,489,139,0,0,11,0,8643,0,0,2344,133,0,0,0,-406,103,-36,35,15746,133,1353,0,122,1388,1,1.19283,0,4930,1.09417,-358,-5826,111.5,-358,8511,1.18848,0,8614,1.09,-394,24360,111.7,0,0.60426,0,0.60318,41353,40572,1265,0,109,1265,-95,108.74237,-321,(Invalid Formula Name),406,78.08257,2078,4126,813,164,37.85321,67.375,47,3193,-1.3,1030,849,16.265,-124.375,2344,0,58.75,1834,0,637,11807,104,839,312000,-77
"China Shen Zhou Mining & Resources, Inc.",NYSE MKT, SHZ,2011,fy2011,1,GV_064720,Absaroka Capital,"China Shen Zhou Mining & Resources, Inc.",IQ29162869,Diversified Metals and Mining,-,5.569,30.551,0.346,0,17.051,4.171,5.569,17.051,0,4.351,13.5,0.972,4.351,11.399,-0.037,7.479,0,-3.075,24.385,0,-1.345,77.865,0,0.449,60.313,2.249,0,0,-0.682,1.207,0,1.527,0,85.316,0,-4.015,3.324,1.527,-5.193,11.996,1.235,0.189,0.25,0.292,-6.022,0,-0.089,0,21.747,0,0,0,0.346,0,0,0,-11.026,10.615,0,9.704,21.747,0.346,0,0,0.435,9.704,0.032,0.01103,-8.964,-11.612,0.01387,-0.656,0,31.369,-9.62,52.954,0.01103,20,63.569,0.01387,0,85.316,31.369,0,0.03498,0,0.03498,40995,40908,6.42,0,32.28597,6.42,18.568,33.4251,4.024,(Invalid Formula Name),2.249,1.64015,0,52.954,0,0.582,1.64015,1.09738,0.057,12.246,0,0.084,12.246,80.8775,-8.14963,0,0,-7.72338,6.677,0,9.079,75.815,1.235,1.227,317,0
"Spreadtrum Communications, Inc.",Nasdaq, SPRD,2011,fy2011,1,GV_177781,Muddy Waters,Spreadtrum Communications Inc.,IQ3435853,Semiconductors,-,193.21499,674.25589,134.45498,72.4946,393.62371,20.02297,265.70959,393.62371,0,10.70713,280.63218,16.39301,18.37246,26.95812,0,93.222,117.30192,-2.32316,521.4837,0,-17.85811,64.92763,0,-31.94764,41.52666,136.37214,-15.48756,13.49433,2.40786,5.92411,94.57878,147.65482,0,681.05681,1.46035,122.35407,66.09226,149.11518,-17.34317,64.01384,15.09248,0,47.61225,134.02269,-47.85626,0,0,0,355.36778,0,-27.49514,0,134.45498,106.03337,0,0,-35.07655,2.06483,0,0,368.07905,134.45498,64.01383,0,134.45498,64.01383,0.01494,2.81458,0,89.97793,2.81458,0,-40.10633,47.77081,0,310.91292,2.49,2.54587,312.97776,2.49,-40.10633,681.05681,54.23402,0,1.94086,0,1.70956,41390,40908,156.39512,-4.7504,46.99409,155.2104,21.70297,46.99409,112.02935,(Invalid Formula Name),136.37214,6.616,157.97164,216.33415,1.57652,3.25551,4.60343,92.71655,9.21074,111.62608,0,64.01383,111.62608,10.1213,-18.23848,0,3.533,-15.78169,-154.08351,0,92.59197,424.60384,16.50772,139.05195,1377,-1.41524
"SkyPeople Fruit Juice, Inc.",Nasdaq, SPU,2011,fy2011,1,GV_149379,Absaroka Capital,Future FinTech Group Inc.,IQ41839861,Packaged Foods and Meats,NasdaqCM:FTFT,61.15401,84.02143,13.20517,0,56.54885,3.37592,61.15401,56.54885,0,35.99986,27.47258,0,36.19189,7.86652,0,6.12638,0.55736,11.93289,104.02948,0,-0.45395,57.25598,0,-0.62314,44.27723,19.04871,-0.41187,0,-0.57229,-2.60966,6.6735,19.22065,0,160.30337,0,25.9778,2.97292,19.22065,-7.792,6.71037,5.08929,0,0,14.13136,0,0,0,0,16.47397,0,0,0,13.20517,0,0,0.48067,-12.9399,5.9028,0,4.23587,16.47397,12.7245,0,0.00146,12.7245,4.23587,0.02569,3.96241,-8.43358,64.62345,3.96241,0,0,3.2113,-8.43358,137.92514,3.96232,0,143.8294,3.96232,0,160.30337,3.33269,0,3.45241,0,3.32666,41547,40908,22.42462,0,3.2113,22.42462,-3.98957,3.2113,11.80362,(Invalid Formula Name),19.04871,42.94994,22.60145,131.25164,0.17682,0.84974,40.87181,11.08671,7.85366,6.71037,0,-4.19772,6.71037,26.4782,14.02976,0,0,14.56085,-54.44364,0,-6.89466,150.53976,5.26357,14.63263,407,-0.17429
Silvercorp Metals Inc.,NYSE, SVM,2011,fy2011,1,GV_108326,Alfred Little,Silvercorp Metals Inc.,IQ876635,Silver,TSX:SVM,147.224,167.327,67.655,59.037,41.884,7.245,206.261,41.884,0,0.203,125.443,2.291,1.254,17.091,0,3.895,0,-0.968,214.153,0,-0.436,251.246,0,5.403,228.315,103.39,0,62.108,1.375,2.089,0,109.216,0,506.615,1.344,104.033,12.77,110.56,-35.808,0,20.843,0.538,0,89.717,-23.388,0,0,0,36.465,0,0,0,67.655,-44.869,0,0,-103.527,53.06,-0.304,0,52.938,67.655,0,0,67.655,0,266.081,0.40317,-1.473,112.043,0.40317,0,0,167.8061,-1.473,400.617,0.4,115.818,453.677,0.4,0,506.615,169.19284,0,0.27531,0,0.27305,41046,40633,110.635,-13.113,174.92571,117.378,90.817,174.92571,96.606,(Invalid Formula Name),103.39,2.29021,0,400.617,0,0.09,2.29021,46.198,13.778,0,0,-1.473,0,18.8522,53.791,0,19.3821,53.84475,-206.261,0,-15.043,453.677,19.484,74.827,950,1.359
Swisher Hygiene Inc. ,Nasdaq, SWSH,2011,fy2011,1,GV_186994,Street Sweeper,Swisher Hygiene Inc.,IQ326363,Diversified Support Services,-,70.508,160.617,-25.34,0,101.196,11.99,70.508,101.196,-4.359,27.747,59.421,4.648,27.747,79.557,11.126,15.689,0,-13.062,258.289,12.69,-3.421,50.473,0,11.81,35.954,-32.826,0,0,-2.305,0,165.994,-39.475,0,478.404,-1.864,-16.678,17.258,-41.339,-14.904,0,-16.616,0,15.566,-24.723,-121.818,0,-0.623,0,83.604,0,0,47.267,-25.34,0,0,0,-155.05,0.022,-6.107,0,134.548,-25.34,43.557,0,-24.717,43.557,0.175,-1.59313,0,-34.33,-1.55397,-33.809,0,15.90576,-33.809,343.834,-1.59313,194.548,343.856,-1.55397,0,478.404,15.90576,0,-1.55075,0,-1.55075,41715,40908,-20.836,0,17.48101,-20.836,203.304,17.51574,31.576,(Invalid Formula Name),-32.826,19.669,-14.218,177.84,6.618,2.738,10.17333,-24.66588,0,62.833,0,9.748,15.566,NM,-132.5925,47.267,0,-131.03625,-7.675,0,112.954,406.689,0.1,-35.74,2105,-16.716
Trina Solar Limited,NYSE, TSL (ADR),2011,fy2011,0,GV_176261,Bronte Capital,Trina Solar Limited,IQ29211752,Semiconductors,-,816.77997,2047.90158,-37.82009,0,1715.2597,69.83715,816.77997,1715.2597,0,466.53708,332.64188,7.95843,466.53708,257.55585,0,249.77873,44.12047,-115.77592,1768.72157,0,-211.50951,1105.26956,0,221.77007,919.72663,30.96556,0,4.06687,-31.96476,-29.65433,42.84808,-32.85191,0,2877.44818,2.34129,21.92727,478.84009,-30.51062,-360.88623,303.25952,7.30962,1.5236,86.21277,-37.82024,0,0,0,0,1007.43532,0,0,647.90653,-37.82009,-3.91098,0,0,-402.5252,0.19985,0,617.99224,1732.12293,-37.82009,298.92241,0,-37.82009,916.91466,0.03982,-0.53704,-465.92142,481.95054,-0.53704,-7.90271,0,70.42365,-473.82413,1145.1254,-0.53704,0.15605,1145.32525,-0.53704,0,2877.44818,70.42365,0,-0.29155,0,-0.29155,41731,40908,100.80271,0,79.64543,100.80271,443.44657,81.36521,64.03239,(Invalid Formula Name),30.96556,14.37779,106.63491,1102.27732,5.8322,31.18257,13.83981,-20.5323,52.73157,1037.37882,0,443.09052,389.47229,NM,-260.56093,647.90653,0,-240.77479,220.59885,0,-22.96238,2182.70407,11.88923,-260.08352,14365,-4.57961
Telestone Technologies Corporation,Nasdaq, TSTC,2011,fy2011,1,GV_143283,Forensic Factor,Telestone Technologies Corp.,IQ1551992,Communications Equipment,-,18.85,109.064,14.926,0,60.559,0.399,18.85,60.559,0,251.46,48.505,1.578,252.994,26.037,0,6.755,2.313,-51.308,283.747,0.452,-2.463,13.665,0,1.819,9.264,19.703,0.444,0,-1.124,4.408,6.839,19.478,0,299.85,0,-12.736,46.45,19.478,-4.822,14.941,4.552,0.002,0,14.926,0.55,0,0,0,157.084,0,0,0,14.926,0,0,0,-4.27,0,0,18.086,157.084,14.926,0,0,14.926,18.086,0.012,1.20926,-13.368,80.277,1.20926,0,0,12.34313,-13.368,142.766,1.20926,0,142.766,1.20926,0,299.85,12.35171,0,0.98628,0,0.98559,40998,40908,20.102,0,12.33326,20.102,4.718,12.33326,-12.17,(Invalid Formula Name),19.703,11.57569,21.769,135.927,1.667,0.766,11.02117,12.17375,0.219,14.941,0,4.718,14.941,23.3699,-25.47013,0,0,-24.76763,-3.909,0,34.29,157.707,4.552,15.28,0,0
Universal Travel Group,NYSE, UTA,2011,fy2011,1,GV_163819,Glaucus Research Group,Universal Travel Group,IQ27993832,"Hotels, Resorts and Cruise Lines",-,9.96753,155.42385,20.81782,71.37572,113.24449,1.247,81.34325,113.24449,2.52471,49.3714,42.17936,3.11049,49.98754,10.68634,0,0,0,-8.98967,142.67267,0,0,0,0,0.63203,1.66787,31.49302,0,0,1.05051,0.27198,24.3814,32.96175,-0.21786,168.72194,-2.73574,18.02634,5.89399,30.226,-0.74277,0,9.40819,0.08057,0,20.81782,0,0,0,0,11.46697,0,0,0,20.81782,-50.08539,0,0,-48.3769,0,0,0,12.0953,20.81782,0,0,20.81782,0,0.0199,1.04621,0,81.50475,1.04621,0,0,19.89824,0,156.62664,1.03,0,156.62664,1.03,0,168.72194,20.16298,0,1.03532,0,1.02173,41050,40908,32.74002,0,19.89824,32.74002,0,19.89824,-29.65146,(Invalid Formula Name),31.49302,7.87138,0,132.24524,0,0,6.64608,20.60109,9.07028,0,0,0,0,31.1261,14.44626,0,0,14.44626,-81.34325,0,8.8516,156.62664,0,31.99725,0,0
Vale S.A.,NYSE, VALE (ADR),2011,fy2011,0,GV_209382,Kynikos Associates,Valeo SA,IQ688262,Auto Parts and Equipment,ENXTPA:FR,1295,10868,427,0,9025,380,1304,9025,23,1705,1843,8,1725,603,0,765,561,-145,4109,0,-73,7861,0,238,1956,674,0,119,-71,0,1654,595,0,8564,5,899,2338,600,-490,75,148,17,302,452,-270,6,-1,1,3896,0,-193,1499,427,17,8,0,-918,144,1,0,6484,427,843,0,428,843,238,1.89495,0,39,1.89939,-681,0,225.336,-681,1936,1.89227,22,2080,1.8967,-18,8564,225.798,0,1.54381,0,1.54065,41327,40908,1054,-91,225.08517,1056,-1,225.08517,-19,(Invalid Formula Name),674,8.60119,1104,282,50,74,1.25286,347.875,169,1890,0,162,383,24.6666,77,1507,21.3114,133.25,586,0,124,3970,156,564,67930,-8
Vestas Wind Systems A/S,Copenhagen, VWS-DK,2011,fy2011,0,GV_225094,Kynikos Associates,Vestas Wind Systems A/S,IQ36246,Heavy Electrical Equipment,CPSE:VWS,375,5836,-166,0,5111,205,375,5111,22,810,725,9,1246,560,0,2546,203,-264,4167,0,193,2818,0,443,1898,-38,342,4,-32,0,1243,-131,0,7689,-22,840,1563,-153,-406,5,13,12,1,-166,-21,0,0,0,4040,0,-327,914,-166,0,0,0,-761,0,0,0,5113,-166,4,0,-166,4,27,-0.81998,0,2542,-0.81998,0,0,202.44391,0,2576,-0.82,0,2576,-0.82,-17,7689,202.44391,0,-0.40443,0,-0.40443,41311,40908,167,0,202.24829,168,-13,202.24829,38,(Invalid Formula Name),-38,12.73682,211,1333,44,60,6.59091,-81.875,69,920,0,4,6,NM,283.125,914,0,316.25,545,0,-731,3496,65,-239,22721,-78
Whiting USA Trust I,NYSE, WHX,2011,fy2011,1,GV_179832,Citron Research,Whiting USA Trust I,IQ39085976,Oil and Gas Exploration and Production,-,0.146,41.933,0,0,0,0,0.146,0,0,0,41.933,0,0,0.749,0,0,0,0,0.146,0,0,111.193,0,0,46.593,41.184,0,0,0,0,0,41.183,0,46.739,0,0,0,41.183,0,0,0.263,0,0,40.92,0,0,0,0,0.146,0,0,0,40.92,0,0,0,0,0,0,0,0.146,40.92,0,0,40.92,0,46.593,2.95155,0,0,2.95155,0,0,13.86389,0,46.593,2.95155,0,46.593,2.95155,0,46.739,13.86389,0,1.85658,0,1.85658,41711,40908,0,0,13.864,0,0,13.86389,0,(Invalid Formula Name),41.184,3.36072,0,46.593,0,0,3.36072,25.73938,0,0,0,0,0,0.6386,0,0,0,0,-0.146,0,-0.001,46.593,0,0,0,0
Exxon Mobil Corporation,NYSE, XOM,2011,fy2011,1,GV_004503,Kynikos Associates,Exxon Mobil Corporation,IQ406338,Integrated Oil and Gas,NYSE:XOM,12664,433526,41060,0,304035,15583,12664,304035,0,30044,129491,0,38642,14179,0,15024,0,-7906,72963,15583,-2208,393995,0,8880,214664,54104,0,18512,-247,0,0,70415,0,331052,2842,55345,33969,73257,-30975,4280,31051,0,3431,42206,0,0,0,11133,77505,0,0,9062,41060,-3666,260,0,-22165,6348,0,2624,170308,41060,702,0,41060,3326,9512,8.43121,-1103,330939,8.43121,-266,-176932,4870,-1369,154396,8.42,924,160744,8.42,-22055,331052,4875,0,8.80151,0,8.79249,41696,40908,69687,-9020,4734,84976,-28256,4713.22057,4839,(Invalid Formula Name),54104,32.61428,73674,154396,3987,557,32.61428,42863.375,27254,17033,0,1957,7711,42.3863,19869.625,9322,21.9678,20024,4369,0,-808,177777,0,38712,82100,0
Youku Tudou Inc.,NYSE, YOKU (ADR),2011,fy2011,0,GV_185912,Alfred Little,Youku Tudou Inc.,IQ30640476,Movies and Entertainment,-,2292.538,897.624,-172.104,1402.838,607.122,207.223,3695.376,607.122,0,420.706,290.502,47.494,420.706,311.004,0,0,72.573,-207.97,4147.78,0,0,255.897,0,-0.252,96.567,-183.29,0,1.707,16.868,0,211.978,-172.104,0,4675.558,0,63.87,57.276,-172.104,-84.855,0,0,0.024,9.182,-172.104,0,0,0,0,462.999,0,-490.767,7.382,-172.104,-1397.817,0,0,-1973.415,0,0,0,470.381,-172.104,0,0,-172.104,0,0.142,-1.55444,0,-871.644,-1.55444,-27.107,0,110.71797,-27.107,4205.177,-1.62,2517.616,4205.177,-1.62,0,4675.558,110.71797,0,-0.97152,0,-0.97152,41745,40908,23.933,0,0,23.933,2490.509,114.67244,481.115,(Invalid Formula Name),-183.29,36.83372,43.555,3993.199,19.622,3.99,34.97697,-107.565,0,16.564,0,-27.107,9.182,0,-416.68588,7.382,0,-415.91625,-3678.812,6.825,-14.522,4221.741,0,-60.922,792,0
"Yongye International, Inc",Nasdaq, YONG,2011,fy2011,1,GV_178003,Absaroka Capital,"Yongye International, Inc.",IQ43834066,Fertilizers and Agricultural Chemicals,-,81.15488,390.37949,84.86163,0,162.07841,8.57453,81.15488,162.07841,0,153.62952,228.30108,6.05619,154.01479,109.58059,0,86.117,13.13063,-139.38194,331.22877,0,-9.02659,25.19616,0,6.61638,21.92944,105.58987,0,0,-1.30606,1.06014,38.47368,108.19975,0,458.76488,0,-31.20344,13.09818,108.19975,-2.26436,28.30856,18.40755,0,4.27923,89.7922,0,0,0,0,60.85657,0,-4.8077,7.46468,84.86163,0,0,7.88449,-7.07206,15.30002,0,43.31482,77.4769,76.97714,0,49.39999,76.97714,43.31482,0.04937,1.56919,-15.46958,148.805,1.56919,-1.73872,0,49.05525,-17.2083,316.58798,1.55119,0,381.28798,1.55119,0,458.76488,49.16107,50,1.27803,0,1.27528,41715,40908,114.16439,0,49.37071,114.16439,75.50652,50.53704,39.24141,(Invalid Formula Name),105.58987,6.41247,114.42249,278.1143,0.2581,1.38676,5.63318,62.69427,19.98686,40.05248,0,26.10653,32.5878,17.0125,-66.25494,7.46468,0,-65.36174,-41.1024,0,138.91407,421.34046,21.047,111.90003,571,-2.63945
"Yongye International, Inc.",Nasdaq, YONG,2011,fy2011,1,GV_178003,Prescience Investment Group,"Yongye International, Inc.",IQ43834066,Fertilizers and Agricultural Chemicals,-,81.15488,390.37949,84.86163,0,162.07841,8.57453,81.15488,162.07841,0,153.62952,228.30108,6.05619,154.01479,109.58059,0,86.117,13.13063,-139.38194,331.22877,0,-9.02659,25.19616,0,6.61638,21.92944,105.58987,0,0,-1.30606,1.06014,38.47368,108.19975,0,458.76488,0,-31.20344,13.09818,108.19975,-2.26436,28.30856,18.40755,0,4.27923,89.7922,0,0,0,0,60.85657,0,-4.8077,7.46468,84.86163,0,0,7.88449,-7.07206,15.30002,0,43.31482,77.4769,76.97714,0,49.39999,76.97714,43.31482,0.04937,1.56919,-15.46958,148.805,1.56919,-1.73872,0,49.05525,-17.2083,316.58798,1.55119,0,381.28798,1.55119,0,458.76488,49.16107,50,1.27803,0,1.27528,41715,40908,114.16439,0,49.37071,114.16439,75.50652,50.53704,39.24141,(Invalid Formula Name),105.58987,6.41247,114.42249,278.1143,0.2581,1.38676,5.63318,62.69427,19.98686,40.05248,0,26.10653,32.5878,17.0125,-66.25494,7.46468,0,-65.36174,-41.1024,0,138.91407,421.34046,21.047,111.90003,571,-2.63945
"Yuhe International, Inc.",Nasdaq, YUII,2011,fy2011,1,GV_114959,GeoInvesting,Yuhe International Inc,IQ142837915,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
